Story ID,Epic,Epic Name,Sprint,Title,Description,Acceptance Criteria,Story Points,Assigned Role
REG-301,E3,Collection Engine,Sprint 3,End-to-end ingestion pipeline,"Wire detect→fetch→version→enrich→record per regulator: run manifests, seen-URL registry, per-URL error isolation, idempotent reruns.",One bad document never fails a run; rerun same day is a no-op for unchanged content; manifest lists every URL with outcome; run row persisted,8,Backend Engineer
REG-302,E3,Collection Engine,Sprint 3,Policy-PDF harvesting,"Extract same-domain PDF links from ingested HTML pages and ingest them as first-class policy documents (source_kind=policy_pdf), with per-page and per-run caps.","PDFs enter the same versioning path; source_kind recorded; caps prevent runaway; 3/page, 40/run defaults",3,AI Engineer
REG-303,E3,Collection Engine,Sprint 3,Meta-source deduplication,"When the meta-source (Federal Register) lists a document an agency feed already provided, keep the agency copy canonical and skip the duplicate by reference number.",Duplicate skipped and counted (deduped metric); no double-counting across fedreg/agency,2,AI Engineer
REG-304,E5,"Orchestration, Operations & Data Quality",Sprint 3,Fleet orchestrator,Fan out one isolated run per active regulator; support rerun of all/subset/one for a chosen date; expose reconcile as an operation.,One regulator's hard failure never blocks others; rerun records operator identity; reruns are idempotent,5,Backend Engineer
REG-305,E5,"Orchestration, Operations & Data Quality",Sprint 3,Run status semantics & live progress,Humane statuses (failed only when nothing landed or >20% errored) plus mid-run counter flushes so the UI can show live progress.,Partial-error runs show success + error count; counters update at least every 10 documents during a run,3,Backend Engineer
REG-306,E4,Source Verification & Regulator Onboarding,Sprint 3,"Pilot regulators end-to-end (OSFI, FRB, FedReg)","Prove all three connector types live against the pilot trio, including a forced content change correctly archiving v1.",All pilots ingest live; update archives prior version; fixtures recorded,3,AI Engineer
REG-307,E4,Source Verification & Regulator Onboarding,Sprint 3,Onboarding wave 1 — fifteen fast regulators,Verify sources and run first live ingestion for the non-giant regulators across all regions.,Each has ≥1 verified source and a passing live run; failures triaged with per-URL evidence,5,AI Engineer
REG-308,E3,Collection Engine,Sprint 3,Crawl hardening,"Protect the fleet from pathological sources: sitemap byte cap, sitemap-index child cap, giants-last ordering with per-giant caps, tuned timeouts.",A monster sitemap cannot hang a run (logged truncation); giants capped per run; hardening covered by tests,3,Full-stack Engineer
REG-309,E5,"Orchestration, Operations & Data Quality",Sprint 3,Bot-block guard & sanctioned fallbacks,"Detect anti-scraping block pages and fall back to official API abstract, else an honest metadata stub — provenance labels content_source; never store block-page garbage; never evade.",Block page never stored as content; fallback chain full-text→abstract→stub; content_source recorded; zero recurring error storms,2,Full-stack Engineer
REG-310,E7,Analyst & Operator Dashboard,Sprint 3,BA: dashboard information architecture & status vocabulary,"Define analyst/operator journeys, coverage semantics (fresh/stale/attention), and plain-language status labels for the UI.",IA for 5 pages agreed; status color/meaning table documented,2,Business Analyst
PM-S3,E5,"Orchestration, Operations & Data Quality",Sprint 3,PM: sprint ceremonies & reporting,Recurring PM allocation.,As S1,0,Project Manager
REG-401,E7,Analyst & Operator Dashboard,Sprint 4,Dashboard data API,"Read endpoints backing every page: coverage tree with roll-ups, corpus browse with facets, changes feed, run overview with daily delta, version diff, inventory, jailed file explorer.",All endpoints stateless and paginated where relevant; institution filters applied in SQL before LIMIT; fs endpoints jailed to corpus root,5,Backend Engineer
REG-402,E7,Analyst & Operator Dashboard,Sprint 4,Coverage page,"Region→institution expandable tree: web/PDF counts, new-in-window, last run, freshness pill, coverage-% vs source-advertised, per-row Run trigger.",Coverage % shown per institution; staleness flagged per config threshold; Run button triggers a real audited run,5,Full-stack Engineer
REG-403,E7,Analyst & Operator Dashboard,Sprint 4,Corpus browser page,"Dedicated deep-linkable page: continent/institution/file-type/doc-type/status/date/search filters with live facet counts, title+reference+excerpt rows, source links, Published+Added columns, pagination.",All filters server-side; facet counts reflect scope; row opens document drawer; 50/page with prev/next,5,Full-stack Engineer
REG-404,E7,Analyst & Operator Dashboard,Sprint 4,Collection-runs page,"Operations view: today's delta banner with pass-rate headline and failing-run digest, live active-run progress (5s polling), recent runs, daily delta history.",Pass-rate = fetched/(fetched+errors); live counters tick during runs; every run links to its manifest,3,Full-stack Engineer
REG-405,E6,Deterministic Enrichment & Knowledge Graph,Sprint 4,Reference-number grammar & citation mining,"Regex grammars for regulator identifiers (OSFI B/E-series, CAR/LAR chapters, SR letters, OCC bulletins, NI, APS, PS/CP/SS, RTS/ITS, BCBS…) extracting a document's own reference and its citations, with sentence-scoped supersede detection.",Own-reference extracted from titles; citations classified supersedes vs references without cross-sentence bleed; adding a grammar is a table entry,5,AI Engineer
REG-406,E6,Deterministic Enrichment & Knowledge Graph,Sprint 4,Cross-reference knowledge graph,Resolve citations against the corpus into typed edges with confidence; supersedes edges flip target status; unresolved citations persist and retry nightly.,Edges deduplicated; supersedes updates target to superseded; pending edges resolve when the target arrives,3,AI Engineer
REG-407,E6,Deterministic Enrichment & Knowledge Graph,Sprint 4,Expected-inventory reconciliation (completeness proof),Per-regulator expected inventories (seeded: OSFI CAR/LAR/B/E series) reconciled against the corpus by reference then title; per-series present/missing report and API.,Answers 'do we hold every chapter?' with named gaps; OSFI reconciles 30/30 after gap-fill,3,AI Engineer
REG-408,E4,Source Verification & Regulator Onboarding,Sprint 4,Onboarding wave 2 — giants & source remediation,"Onboard the large/broken regulators: capped depth-slicing for giants; fix dead feeds (FDIC), connector switches (HKMA + 5 RSS-dead regs → listing/sitemap), sitemap-index support (CSA).",29/30 regulators verified and collecting; each fix re-verified by the harness; AMF escalated (not evaded),3,AI Engineer
REG-409,E4,Source Verification & Regulator Onboarding,Sprint 4,Targeted gap-fill runs,URL-regex-scoped ingest (e.g. /en/guidance) so specific sections can be completed without full-site crawls; used to complete OSFI's guideline chapters.,Scoped run ingests only matching URLs; OSFI guidance section filled (363 docs) driving inventory to complete,2,Backend Engineer
REG-410,E7,Analyst & Operator Dashboard,Sprint 4,BA: UAT round 1 (coverage/corpus/runs),Structured UAT of the first three pages against analyst/operator journeys; log and triage defects.,UAT script executed; defects logged with severity; blocking defects fixed before sprint close,2,Business Analyst
PM-S4,E5,"Orchestration, Operations & Data Quality",Sprint 4,PM: sprint ceremonies & reporting,Recurring PM allocation.,As S1,0,Project Manager
REG-501,E7,Analyst & Operator Dashboard,Sprint 5,Changes / impact feed,"Analyst delta feed: NEW/REVISED/SUPERSEDED/DEADLINE cards grouped by day, filtered by region, institution, file type, change-type chips, and explicit date range — all server-side.",Filters share coverage-tree dimensions; counts remain pre-kind-filter for tile toggles; feed matches DB deltas exactly,3,Full-stack Engineer
REG-502,E7,Analyst & Operator Dashboard,Sprint 5,Version diff viewer,"One-click unified diff between a document's current and previous archived version with added/removed counts, from the Changes feed and drawer.",Diff renders color-coded; single-version docs report 'no diff' cleanly,2,Full-stack Engineer
REG-503,E7,Analyst & Operator Dashboard,Sprint 5,Rich document drawer,"Document view with tabs: rendered markdown (self-contained md→html, no CDN), summary, provenance rail (all governance fields incl. final URL/fetch method/content source), raw text.",Headings/lists/tables/links render; provenance shows source URL clickable; raw preserved verbatim,3,Full-stack Engineer
REG-504,E7,Analyst & Operator Dashboard,Sprint 5,Corpus file Explorer,"Nested file-tree page mirroring disk (regulator→current|archive→doc_type→year→doc→artifacts) with lazy loading; text files open in drawer, originals download; API jailed to corpus root.",Path traversal rejected (400); item counts and sizes shown; md renders rich,3,Full-stack Engineer
REG-505,E5,"Orchestration, Operations & Data Quality",Sprint 5,Manual interjection & upload lane,"Human override: add/update a document by URL fetch, pasted corrected markdown, or uploaded PDF/HTML — via UI modal, API, and CLI — through the identical versioning/provenance path, tagged manual and audited.",Update archives prior version; operator identity recorded; run row visible; future crawls recognize the URL (no duplicates); 50MB upload cap,5,Backend Engineer
REG-506,E8,MCP Tool Surface & Security,Sprint 5,Content-plane MCP tools,"reg_search (filter-then-rank), reg_read (summary|full|meta|historical version), reg_tags, reg_whats_new, reg_graph — stateless, registered via config-driven dynamic discovery.",All five discoverable and callable over MCP; filters applied before ranking; graph traversal cycle-safe depth≤3,5,AI Engineer
REG-507,E8,MCP Tool Surface & Security,Sprint 5,Index-plane MCP tools,"reg_coverage, reg_browse (metadata-only), reg_changes, reg_diff, reg_inventory, reg_runs_status, reg_trigger_run (mutating, guarded) — the answers content-RAG cannot give.",All seven callable over MCP with the same filters as the UI; trigger refuses concurrent runs and records operator,5,AI Engineer
REG-508,E8,MCP Tool Surface & Security,Sprint 5,MCP security & key lifecycle,"Authentication required for tools/call (discovery stays open); per-key tool allowlists enforced at the transport; scoped agent key issued, rotated, and stored DB-only (never committed).",No-key and dead-key calls rejected; out-of-scope tool denied; in-scope tool works — four-way matrix verified; rotation procedure documented,5,Backend Engineer
REG-509,E7,Analyst & Operator Dashboard,Sprint 5,BA: UAT round 2 (changes/diff/explorer/manual),Structured UAT of the remaining pages and the manual lane.,UAT script executed; defects triaged; sign-off recorded,2,Business Analyst
PM-S5,E5,"Orchestration, Operations & Data Quality",Sprint 5,PM: sprint ceremonies & reporting,Recurring PM allocation.,As S1,0,Project Manager
REG-601,E9,Agentic Integration,Sprint 6,Markdown projection for the agent stack,Maintain the corpus in the agent tools' consumption layout — data/markdown/{web|policy}/{regulator}/{doc_type}/{doc_id}.md with YAML frontmatter — via write-through on every ingest plus nightly resync self-heal.,Every current document has exactly one projection file; frontmatter carries citation context; resync idempotent; history stays in canonical store,5,Backend Engineer
REG-602,E9,Agentic Integration,Sprint 6,Agent-platform MCP connectivity,Connect the existing agent stack to the MCP endpoint with the scoped key; verify end-to-end tool calls and denial of out-of-scope tools.,initialize/tools list/call verified from client side; connection details documented for the platform's custom-MCP dialog,3,AI Engineer
REG-603,E9,Agentic Integration,Sprint 6,Chatbot enablement guide,"Author the integration guide: connection block, agent prompt pattern (narrow→read cheap→relate→freshness), non-negotiable citation rule, worked examples, honest limitations, go-live eval checklist.",Guide sufficient for the chatbot team to integrate without our involvement,2,AI Engineer
REG-604,E9,Agentic Integration,Sprint 6,Agent skills authoring,"Author skill definitions on the agent platform mapping to the tools: Daily Regulatory Briefing (reg_changes), Impact Analysis (reg_diff+reg_graph), Completeness Audit (reg_coverage+reg_inventory).","Three skills live on the platform; each produces correct, cited output on test prompts",3,AI Engineer
REG-605,E9,Agentic Integration,Sprint 6,Agent citation & accuracy evaluation,"Run the 20-question eval across ≥8 regulators: every claim cited (regulator+reference+date+URL), superseded docs flagged with successor, out-of-corpus questions declined.",Eval sheet completed with pass/fail per question; failures fed back into prompt/tool fixes,3,AI Engineer
REG-606,E5,"Orchestration, Operations & Data Quality",Sprint 6,Daily delta poller & weekly deep run,"Single scheduler entrypoint: fleet delta ingest (giants depth-sliced), pending-edge resolution, integrity reconcile, projection resync, one-line delta summary; weekly --deep raises caps.",One cron line each for daily/weekly; exit code signals invariant violations; every run visible in UI,3,Backend Engineer
REG-607,E5,"Orchestration, Operations & Data Quality",Sprint 6,Backup & restore,Nightly consistent SQLite snapshot + hardlink-incremental corpus backup with 7-day retention; restore verified.,Backup runs while server/crawls active; restore drill opens snapshot with full document count; retention enforced portably,3,Backend Engineer
REG-608,E7,Analyst & Operator Dashboard,Sprint 6,UX polish round,Excerpt/description line + source links + Added date in corpus; PDF filename titles (incl. backfill); add-doc discoverability in top bar; rich-render defaults.,No raw URLs as titles; every row shows an honest excerpt where text exists; date column always populated,3,Full-stack Engineer
REG-609,E10,Future Enhancements (Backlog),Sprint 6,Successor knowledge base,"Author the handover KB: start-here mental model, architecture/flows/schema, UI+tools reference, testing/ops runbook, known issues + war stories + roadmap.",A new engineer/AI agent can operate and extend the system from the KB alone,3,Full-stack Engineer
REG-610,E9,Agentic Integration,Sprint 6,BA: final UAT & product-owner acceptance,End-to-end acceptance against the epic-level outcomes; PO sign-off for go-live.,Acceptance record signed; open items dispositioned to backlog,2,Business Analyst
PM-S6,E5,"Orchestration, Operations & Data Quality",Sprint 6,PM: go/no-go readiness review & handover,"Deployment readiness review, handover of runbooks/KB, closure report.",Readiness review held; handover acknowledged,0,Project Manager
REG-701,E10,Future Enhancements (Backlog),Backlog,Federal Register full text via govinfo.gov bulk data,Replace abstract/stub fallback with sanctioned full text from GPO govinfo bulk repository (separate host built for programmatic bulk use).,Full text for new FR docs; existing stubs self-heal to full text as revisions; no ToS risk,5,AI Engineer
REG-702,E10,Future Enhancements (Backlog),Backlog,Simple-mode overview landing page,"First-time-user landing: one plain-English headline, ≤4 tiles, one regulator×(web/PDF/today delta/health-dot) table; ops detail moves behind drill-ins; analyst vs operator modes.",New user answers 'what do we have / what changed today / is it healthy' in <10s without training,5,Full-stack Engineer
REG-703,E10,Future Enhancements (Backlog),Backlog,Playwright fetch path for JS-heavy sites,"Browser-rendered fetching for regulators whose listings require JavaScript (MAS, some NYDFS).",fetch:playwright configs ingest content where plain HTTP yields none,5,AI Engineer
REG-704,E10,Future Enhancements (Backlog),Backlog,PostgreSQL migration,Flip db.type to Postgres using the shipped DDL; enable pg_trgm for title-similarity reference resolution.,All tests green on Postgres; no write-lock contention during concurrent crawl+agent load,3,Backend Engineer
REG-705,E10,Future Enhancements (Backlog),Backlog,Expected inventories for EBA / FCA / APRA,Extend completeness proofs beyond OSFI using each regulator's official register/index.,Per-series present/missing for 3 more regulators; gaps drive targeted gap-fills,3,AI Engineer
REG-706,E10,Future Enhancements (Backlog),Backlog,Weekly digest webhook,Teams/email digest generated from the changes feed (per-desk filters).,Scheduled digest delivered with citations; opt-in filters per audience,3,Backend Engineer
REG-707,E10,Future Enhancements (Backlog),Backlog,AMF Québec access via official whitelisting,Engage AMF for institutional IP/UA whitelisting (site bot-blocks all automation); fallback: licensed feed.,AMF collecting via sanctioned access; zero evasion techniques used,2,Business Analyst
REG-708,E10,Future Enhancements (Backlog),Backlog,Production hardening,"Pre-exposure hardening: replace default admin credentials, TLS/reverse proxy, restricted bind, secrets management, key rotation SOP.",Security checklist passed before any non-localhost exposure,5,Backend Engineer
REG-709,E10,Future Enhancements (Backlog),Backlog,OCR for scanned policy PDFs,"Tesseract path for image-only PDFs (currently 6 docs, 97% extract fine without).",ocr:true docs gain searchable text; volume-triggered (revisit if scanned share grows),3,AI Engineer
REG-710,E10,Future Enhancements (Backlog),Backlog,LLM enrichment integration,"Wire the owner's LLM gateway into the enrichment slot: real summaries (summary.md), taxonomy topic tags, doc-type reclassification, date/deadline extraction; golden-set eval gates.",Summaries replace excerpts; doc_type distribution reflects reality (not 90% announcement); deadline feed populated; eval ≥90% tagging accuracy,8,AI Engineer
