Story ID,Epic,Epic Name,Sprint,Title,Description,Acceptance Criteria,Story Points,Assigned Role,Status,Evidence / Notes
PM-S2,E5,"Orchestration, Operations & Data Quality",Sprint 2,PM: sprint ceremonies & reporting,Recurring PM allocation.,As S1,0,Project Manager,Done,Recurring
REG-301,E3,Collection Engine,Sprint 3,End-to-end ingestion pipeline,"Wire detect→fetch→version→enrich→record per regulator: run manifests, seen-URL registry, per-URL error isolation, idempotent reruns.",One bad document never fails a run; rerun same day is a no-op for unchanged content; manifest lists every URL with outcome; run row persisted,8,Backend Engineer,Done,pipeline.run_regulator; OSFI e2e test incl. forced update→archive
REG-302,E3,Collection Engine,Sprint 3,Policy-PDF harvesting,"Extract same-domain PDF links from ingested HTML pages and ingest them as first-class policy documents (source_kind=policy_pdf), with per-page and per-run caps.","PDFs enter the same versioning path; source_kind recorded; caps prevent runaway; 3/page, 40/run defaults",3,AI Engineer,Done,772 policy PDFs in corpus; harvest test
REG-303,E3,Collection Engine,Sprint 3,Meta-source deduplication,"When the meta-source (Federal Register) lists a document an agency feed already provided, keep the agency copy canonical and skip the duplicate by reference number.",Duplicate skipped and counted (deduped metric); no double-counting across fedreg/agency,2,AI Engineer,Done,meta_source flag; dedup test
REG-304,E5,"Orchestration, Operations & Data Quality",Sprint 3,Fleet orchestrator,Fan out one isolated run per active regulator; support rerun of all/subset/one for a chosen date; expose reconcile as an operation.,One regulator's hard failure never blocks others; rerun records operator identity; reruns are idempotent,5,Backend Engineer,Done,orchestrator.py; isolation + rerun tests
REG-305,E5,"Orchestration, Operations & Data Quality",Sprint 3,Run status semantics & live progress,Humane statuses (failed only when nothing landed or >20% errored) plus mid-run counter flushes so the UI can show live progress.,Partial-error runs show success + error count; counters update at least every 10 documents during a run,3,Backend Engineer,Done,events.finalize(); _flush_run; Today's-delta banner
REG-306,E4,Source Verification & Regulator Onboarding,Sprint 3,"Pilot regulators end-to-end (OSFI, FRB, FedReg)","Prove all three connector types live against the pilot trio, including a forced content change correctly archiving v1.",All pilots ingest live; update archives prior version; fixtures recorded,3,AI Engineer,Done,"Live runs; OSFI 833→1,196 docs"
REG-307,E4,Source Verification & Regulator Onboarding,Sprint 3,Onboarding wave 1 — fifteen fast regulators,Verify sources and run first live ingestion for the non-giant regulators across all regions.,Each has ≥1 verified source and a passing live run; failures triaged with per-URL evidence,5,AI Engineer,Done,18 regs at 100% of advertised coverage
REG-308,E3,Collection Engine,Sprint 3,Crawl hardening,"Protect the fleet from pathological sources: sitemap byte cap, sitemap-index child cap, giants-last ordering with per-giant caps, tuned timeouts.",A monster sitemap cannot hang a run (logged truncation); giants capped per run; hardening covered by tests,3,Full-stack Engineer,Done,8MB/30-child caps after HKMA 3.8MB hang
REG-309,E5,"Orchestration, Operations & Data Quality",Sprint 3,Bot-block guard & sanctioned fallbacks,"Detect anti-scraping block pages and fall back to official API abstract, else an honest metadata stub — provenance labels content_source; never store block-page garbage; never evade.",Block page never stored as content; fallback chain full-text→abstract→stub; content_source recorded; zero recurring error storms,2,Full-stack Engineer,Done,"FedReg: 64 abstracts + 436 stubs, 0 errors"
REG-310,E7,Analyst & Operator Dashboard,Sprint 3,BA: dashboard information architecture & status vocabulary,"Define analyst/operator journeys, coverage semantics (fresh/stale/attention), and plain-language status labels for the UI.",IA for 5 pages agreed; status color/meaning table documented,2,Business Analyst,Done,Mockups reviewed; humane-status change driven by PO feedback
PM-S3,E5,"Orchestration, Operations & Data Quality",Sprint 3,PM: sprint ceremonies & reporting,Recurring PM allocation.,As S1,0,Project Manager,Done,Recurring
REG-401,E7,Analyst & Operator Dashboard,Sprint 4,Dashboard data API,"Read endpoints backing every page: coverage tree with roll-ups, corpus browse with facets, changes feed, run overview with daily delta, version diff, inventory, jailed file explorer.",All endpoints stateless and paginated where relevant; institution filters applied in SQL before LIMIT; fs endpoints jailed to corpus root,5,Backend Engineer,Done,queries_ui.py + admin.py; endpoint tests incl. traversal + filter-order regressions
REG-402,E7,Analyst & Operator Dashboard,Sprint 4,Coverage page,"Region→institution expandable tree: web/PDF counts, new-in-window, last run, freshness pill, coverage-% vs source-advertised, per-row Run trigger.",Coverage % shown per institution; staleness flagged per config threshold; Run button triggers a real audited run,5,Full-stack Engineer,Done,/ui Coverage; auto-refresh during active runs
REG-403,E7,Analyst & Operator Dashboard,Sprint 4,Corpus browser page,"Dedicated deep-linkable page: continent/institution/file-type/doc-type/status/date/search filters with live facet counts, title+reference+excerpt rows, source links, Published+Added columns, pagination.",All filters server-side; facet counts reflect scope; row opens document drawer; 50/page with prev/next,5,Full-stack Engineer,Done,#corpus; excerpt layer exposed the FedReg block issue
REG-404,E7,Analyst & Operator Dashboard,Sprint 4,Collection-runs page,"Operations view: today's delta banner with pass-rate headline and failing-run digest, live active-run progress (5s polling), recent runs, daily delta history.",Pass-rate = fetched/(fetched+errors); live counters tick during runs; every run links to its manifest,3,Full-stack Engineer,Done,#run; verified against live crawls
REG-405,E6,Deterministic Enrichment & Knowledge Graph,Sprint 4,Reference-number grammar & citation mining,"Regex grammars for regulator identifiers (OSFI B/E-series, CAR/LAR chapters, SR letters, OCC bulletins, NI, APS, PS/CP/SS, RTS/ITS, BCBS…) extracting a document's own reference and its citations, with sentence-scoped supersede detection.",Own-reference extracted from titles; citations classified supersedes vs references without cross-sentence bleed; adding a grammar is a table entry,5,AI Engineer,Done,rules.py; pattern + sentence-scope tests
REG-406,E6,Deterministic Enrichment & Knowledge Graph,Sprint 4,Cross-reference knowledge graph,Resolve citations against the corpus into typed edges with confidence; supersedes edges flip target status; unresolved citations persist and retry nightly.,Edges deduplicated; supersedes updates target to superseded; pending edges resolve when the target arrives,3,AI Engineer,Done,176 edges + 756 pending on live corpus
REG-407,E6,Deterministic Enrichment & Knowledge Graph,Sprint 4,Expected-inventory reconciliation (completeness proof),Per-regulator expected inventories (seeded: OSFI CAR/LAR/B/E series) reconciled against the corpus by reference then title; per-series present/missing report and API.,Answers 'do we hold every chapter?' with named gaps; OSFI reconciles 30/30 after gap-fill,3,AI Engineer,Done,/inventory/osfi = 30/30; _inventories/osfi.yaml
REG-408,E4,Source Verification & Regulator Onboarding,Sprint 4,Onboarding wave 2 — giants & source remediation,"Onboard the large/broken regulators: capped depth-slicing for giants; fix dead feeds (FDIC), connector switches (HKMA + 5 RSS-dead regs → listing/sitemap), sitemap-index support (CSA).",29/30 regulators verified and collecting; each fix re-verified by the harness; AMF escalated (not evaded),3,AI Engineer,Done,eiopa/finra/iosco/mas/osc/hkma/fdic/csa all remediated
REG-409,E4,Source Verification & Regulator Onboarding,Sprint 4,Targeted gap-fill runs,URL-regex-scoped ingest (e.g. /en/guidance) so specific sections can be completed without full-site crawls; used to complete OSFI's guideline chapters.,Scoped run ingests only matching URLs; OSFI guidance section filled (363 docs) driving inventory to complete,2,Backend Engineer,Done,--include flag; OSFI 12/30→30/30
REG-410,E7,Analyst & Operator Dashboard,Sprint 4,BA: UAT round 1 (coverage/corpus/runs),Structured UAT of the first three pages against analyst/operator journeys; log and triage defects.,UAT script executed; defects logged with severity; blocking defects fixed before sprint close,2,Business Analyst,Partial,"Continuous PO review happened in-build (several defects caught: filters, statuses); formal scripted UAT pending"
PM-S4,E5,"Orchestration, Operations & Data Quality",Sprint 4,PM: sprint ceremonies & reporting,Recurring PM allocation.,As S1,0,Project Manager,Done,Recurring
REG-501,E7,Analyst & Operator Dashboard,Sprint 5,Changes / impact feed,"Analyst delta feed: NEW/REVISED/SUPERSEDED/DEADLINE cards grouped by day, filtered by region, institution, file type, change-type chips, and explicit date range — all server-side.",Filters share coverage-tree dimensions; counts remain pre-kind-filter for tile toggles; feed matches DB deltas exactly,3,Full-stack Engineer,Done,#chg; filter-before-LIMIT regression test
REG-502,E7,Analyst & Operator Dashboard,Sprint 5,Version diff viewer,"One-click unified diff between a document's current and previous archived version with added/removed counts, from the Changes feed and drawer.",Diff renders color-coded; single-version docs report 'no diff' cleanly,2,Full-stack Engineer,Done,/diff endpoint + viewer; real v1→v2 diffs verified
REG-503,E7,Analyst & Operator Dashboard,Sprint 5,Rich document drawer,"Document view with tabs: rendered markdown (self-contained md→html, no CDN), summary, provenance rail (all governance fields incl. final URL/fetch method/content source), raw text.",Headings/lists/tables/links render; provenance shows source URL clickable; raw preserved verbatim,3,Full-stack Engineer,Done,md2html engine; verified on live BoE paper
REG-504,E7,Analyst & Operator Dashboard,Sprint 5,Corpus file Explorer,"Nested file-tree page mirroring disk (regulator→current|archive→doc_type→year→doc→artifacts) with lazy loading; text files open in drawer, originals download; API jailed to corpus root.",Path traversal rejected (400); item counts and sizes shown; md renders rich,3,Full-stack Engineer,Done,#exp; jail tests
REG-505,E5,"Orchestration, Operations & Data Quality",Sprint 5,Manual interjection & upload lane,"Human override: add/update a document by URL fetch, pasted corrected markdown, or uploaded PDF/HTML — via UI modal, API, and CLI — through the identical versioning/provenance path, tagged manual and audited.",Update archives prior version; operator identity recorded; run row visible; future crawls recognize the URL (no duplicates); 50MB upload cap,5,Backend Engineer,Done,manual.py + modal + /documents(/upload) + CLI; v1→v2 test
REG-506,E8,MCP Tool Surface & Security,Sprint 5,Content-plane MCP tools,"reg_search (filter-then-rank), reg_read (summary|full|meta|historical version), reg_tags, reg_whats_new, reg_graph — stateless, registered via config-driven dynamic discovery.",All five discoverable and callable over MCP; filters applied before ranking; graph traversal cycle-safe depth≤3,5,AI Engineer,Done,reg_tools.py + generated configs; tool tests
REG-507,E8,MCP Tool Surface & Security,Sprint 5,Index-plane MCP tools,"reg_coverage, reg_browse (metadata-only), reg_changes, reg_diff, reg_inventory, reg_runs_status, reg_trigger_run (mutating, guarded) — the answers content-RAG cannot give.",All seven callable over MCP with the same filters as the UI; trigger refuses concurrent runs and records operator,5,AI Engineer,Done,Verified over the wire via agent key
REG-508,E8,MCP Tool Surface & Security,Sprint 5,MCP security & key lifecycle,"Authentication required for tools/call (discovery stays open); per-key tool allowlists enforced at the transport; scoped agent key issued, rotated, and stored DB-only (never committed).",No-key and dead-key calls rejected; out-of-scope tool denied; in-scope tool works — four-way matrix verified; rotation procedure documented,5,Backend Engineer,Done,api_routes enforcement; live verification matrix; key rotated pre-publication
REG-509,E7,Analyst & Operator Dashboard,Sprint 5,BA: UAT round 2 (changes/diff/explorer/manual),Structured UAT of the remaining pages and the manual lane.,UAT script executed; defects triaged; sign-off recorded,2,Business Analyst,Partial,In-build PO validation only; formal pass pending
PM-S5,E5,"Orchestration, Operations & Data Quality",Sprint 5,PM: sprint ceremonies & reporting,Recurring PM allocation.,As S1,0,Project Manager,Done,Recurring
REG-601,E9,Agentic Integration,Sprint 6,Markdown projection for the agent stack,Maintain the corpus in the agent tools' consumption layout — data/markdown/{web|policy}/{regulator}/{doc_type}/{doc_id}.md with YAML frontmatter — via write-through on every ingest plus nightly resync self-heal.,Every current document has exactly one projection file; frontmatter carries citation context; resync idempotent; history stays in canonical store,5,Backend Engineer,Done,"projection.py; 5,957 files (269MB); write-through test"
REG-602,E9,Agentic Integration,Sprint 6,Agent-platform MCP connectivity,Connect the existing agent stack to the MCP endpoint with the scoped key; verify end-to-end tool calls and denial of out-of-scope tools.,initialize/tools list/call verified from client side; connection details documented for the platform's custom-MCP dialog,3,AI Engineer,Done,Verified (usage counter); key details delivered
REG-603,E9,Agentic Integration,Sprint 6,Chatbot enablement guide,"Author the integration guide: connection block, agent prompt pattern (narrow→read cheap→relate→freshness), non-negotiable citation rule, worked examples, honest limitations, go-live eval checklist.",Guide sufficient for the chatbot team to integrate without our involvement,2,AI Engineer,Done,docs/regagg/CHATBOT_GUIDE.md
REG-604,E9,Agentic Integration,Sprint 6,Agent skills authoring,"Author skill definitions on the agent platform mapping to the tools: Daily Regulatory Briefing (reg_changes), Impact Analysis (reg_diff+reg_graph), Completeness Audit (reg_coverage+reg_inventory).","Three skills live on the platform; each produces correct, cited output on test prompts",3,AI Engineer,Not Started,Owner's agent platform; guide + tool surface ready
REG-605,E9,Agentic Integration,Sprint 6,Agent citation & accuracy evaluation,"Run the 20-question eval across ≥8 regulators: every claim cited (regulator+reference+date+URL), superseded docs flagged with successor, out-of-corpus questions declined.",Eval sheet completed with pass/fail per question; failures fed back into prompt/tool fixes,3,AI Engineer,Not Started,Checklist ready in CHATBOT_GUIDE; requires live agent stack
REG-606,E5,"Orchestration, Operations & Data Quality",Sprint 6,Daily delta poller & weekly deep run,"Single scheduler entrypoint: fleet delta ingest (giants depth-sliced), pending-edge resolution, integrity reconcile, projection resync, one-line delta summary; weekly --deep raises caps.",One cron line each for daily/weekly; exit code signals invariant violations; every run visible in UI,3,Backend Engineer,Done,regagg_daily_poll.py; cron lines documented
REG-607,E5,"Orchestration, Operations & Data Quality",Sprint 6,Backup & restore,Nightly consistent SQLite snapshot + hardlink-incremental corpus backup with 7-day retention; restore verified.,Backup runs while server/crawls active; restore drill opens snapshot with full document count; retention enforced portably,3,Backend Engineer,Done,regagg_backup.sh; 2.0GB verified restore-check
REG-608,E7,Analyst & Operator Dashboard,Sprint 6,UX polish round,Excerpt/description line + source links + Added date in corpus; PDF filename titles (incl. backfill); add-doc discoverability in top bar; rich-render defaults.,No raw URLs as titles; every row shows an honest excerpt where text exists; date column always populated,3,Full-stack Engineer,Done,729 titles backfilled; excerpts live
REG-609,E10,Future Enhancements (Backlog),Sprint 6,Successor knowledge base,"Author the handover KB: start-here mental model, architecture/flows/schema, UI+tools reference, testing/ops runbook, known issues + war stories + roadmap.",A new engineer/AI agent can operate and extend the system from the KB alone,3,Full-stack Engineer,Done,docs/regagg/kb/ (5 docs)
REG-610,E9,Agentic Integration,Sprint 6,BA: final UAT & product-owner acceptance,End-to-end acceptance against the epic-level outcomes; PO sign-off for go-live.,Acceptance record signed; open items dispositioned to backlog,2,Business Analyst,Not Started,Pending PO session
PM-S6,E5,"Orchestration, Operations & Data Quality",Sprint 6,PM: go/no-go readiness review & handover,"Deployment readiness review, handover of runbooks/KB, closure report.",Readiness review held; handover acknowledged,0,Project Manager,Not Started,Pending
REG-801,E11,Cloud Migration & Data Platform (AWS),Sprint 7,Infrastructure-as-code baseline for the aggregator,"Codify the aggregator's AWS footprint (RDS access, S3 buckets/prefixes, ECR repo, ECS task definitions, EventBridge rules, IAM roles) as reviewable IaC in the platform's existing tooling, with per-environment parameters.",dev/staging/prod stacks deploy from code with no console steps; IAM follows least privilege; teardown/redeploy reproduces an identical environment; peer-reviewed and merged,8,Backend Engineer,Not Started,Requires platform/DevOps skills — see capacity assumption
REG-802,E11,Cloud Migration & Data Platform (AWS),Sprint 7,PostgreSQL migration & schema deployment,"Deploy the reg_* schema into the existing production PostgreSQL (namespaced, no collisions with platform tables) and migrate the SQLite corpus index with full fidelity; establish forward migration tooling.",All 9 reg_* tables created via versioned migration; row counts and invariants match source exactly; one-current-per-doc enforced by partial unique index; rollback path documented; full test suite green against Postgres,8,Backend Engineer,Not Started,DDL shipped (003_regagg_schema.sql); reg_ prefix already prevents collisions
REG-803,E11,Cloud Migration & Data Platform (AWS),Sprint 7,S3 storage cutover for corpus and markdown projection,"Switch the storage backend from local disk to S3 for the canonical corpus (raw/meta/versions/archive) and the agent-facing markdown projection, preserving the exact key layout the agent tools consume.",Existing ~6GB corpus migrated with checksum verification; ingestion writes to S3; projection paths unchanged for agent tools; archive immutability enforced via bucket policy/versioning; no local-disk dependency remains,5,Backend Engineer,Not Started,Storage abstraction already supports s3 backend
REG-804,E11,Cloud Migration & Data Platform (AWS),Sprint 7,Secrets and environment configuration management,"Move API keys, database credentials and per-environment settings into the platform's secrets manager/parameter store; remove file-based keys; document rotation.",No credential exists in the repo or on disk; application resolves secrets at runtime per environment; key rotation performed without redeploy; rotation SOP documented,3,Backend Engineer,Not Started,Local build already rotated keys to DB-only
REG-805,E11,Cloud Migration & Data Platform (AWS),Sprint 7,Containerise collection workers,"Package the collection pipeline as a container image (pinned dependencies, non-root, health check) published to the registry, runnable as a one-shot task.",Image builds reproducibly in CI; a task run performs a full regulator ingest against RDS+S3; image scanned for vulnerabilities with no criticals,5,Full-stack Engineer,Not Started,
REG-806,E11,Cloud Migration & Data Platform (AWS),Sprint 8,Cloud-scheduled daily and weekly ingestion,"Replace host cron with cloud scheduling: daily delta run and weekly deep run as scheduled container tasks, with concurrency guard, timeout, retry and failure notification.",Daily/weekly schedules fire reliably; overlapping runs prevented; failures raise an alert; run history visible in the existing dashboard exactly as today,5,Backend Engineer,Not Started,Poller entrypoint + single-run guard already built
REG-807,E11,Cloud Migration & Data Platform (AWS),Sprint 8,"Cloud backup, retention and restore drill","Adopt platform-native durability: RDS automated backups with point-in-time recovery, S3 versioning plus lifecycle tiering for archive, and a documented restore procedure.",PITR verified by restoring to a scratch instance; S3 versioning protects against accidental deletion; lifecycle policy moves cold archive to cheaper tier; restore drill timed and documented against RPO/RTO targets,5,Backend Engineer,Not Started,Local backup script is the interim control
REG-808,E11,Cloud Migration & Data Platform (AWS),Sprint 7,"BA: data classification, residency and retention sign-off","Confirm classification of the corpus (public regulatory content plus internal metadata), residency requirements and retention obligations for the cloud footprint.",Classification recorded; residency constraints reflected in region/bucket choices; retention schedule agreed with compliance,2,Business Analyst,Not Started,
PM-S7,E11,Cloud Migration & Data Platform (AWS),Sprint 7,"PM: sprint ceremonies, cloud dependency management",Recurring PM allocation plus coordination with the platform team.,Ceremonies held; cross-team dependencies tracked; sprint report issued,0,Project Manager,Not Started,Recurring
REG-901,E13,"Production Integration, Security & Operations",Sprint 9,Register reg_* tools on the production MCP server,"Deploy the twelve reg_* tool definitions into the existing production MCP server so the production agent can call them, without forking platform code.",All twelve tools discoverable and callable in production; naming does not collide with existing platform tools; mutating tool (trigger run) gated by role; smoke test from the production agent passes,5,AI Engineer,Not Started,Tools are config-driven; index+content planes already built
REG-902,E12,"Scale & Performance (100 → 5,000 users)",Sprint 8,Eliminate per-row object-store reads on the read path,"Remove N+1 storage reads: persist document excerpts as a database column at ingest instead of reading each markdown file per listing row, and stop reading document bodies during search scoring.",Corpus listing issues a single database query with zero object-store calls; excerpt backfilled for existing corpus and maintained at ingest; p95 listing latency under target with cold cache,5,Backend Engineer,Not Started,Measured defect: 50-row page = 50 object reads
REG-903,E12,"Scale & Performance (100 → 5,000 users)",Sprint 8,Delegate content search to the platform search layer,"Point content retrieval at the platform's existing BM25/RAG index over the markdown projection, keeping the filter-then-rank contract; retire the interim in-process scorer.",reg_search filters in SQL then ranks via the platform index; results and citations equivalent or better than interim ranker; latency budget met on the full corpus,5,AI Engineer,Not Started,Owner's stack already provides BM25/RAG
REG-904,E12,"Scale & Performance (100 → 5,000 users)",Sprint 8,Horizontally scalable stateless read tier,"Run the dashboard/API tier as stateless replicas behind the platform load balancer with autoscaling, connection pooling to RDS, and graceful shutdown.",Service scales out and in under load with no session affinity; database connections bounded and pooled; rolling deploy causes no failed requests,5,Backend Engineer,Not Started,Thread-scoped sessions already fix pool leakage
REG-905,E12,"Scale & Performance (100 → 5,000 users)",Sprint 8,Response caching for hot read endpoints,"Cache coverage tree, facet counts and change-feed responses with short, explicit TTLs and invalidation on ingest completion.",Repeat dashboard loads served from cache; cache invalidated within one minute of a completed run; cache hit ratio and staleness observable,3,Full-stack Engineer,Not Started,
REG-906,E13,"Production Integration, Security & Operations",Sprint 9,SSO authentication and role-based access control,"Replace single-operator access with platform SSO and two roles: analyst (read) and operator (run, toggle, manual ingest); identity flows into the existing audit trail.",Unauthenticated access refused; analysts cannot trigger runs or manual ingests; every mutating action recorded with the authenticated identity; access matrix matches the signed-off definition,8,Backend Engineer,Not Started,Audit trail and operator attribution already implemented
REG-907,E13,"Production Integration, Security & Operations",Sprint 9,"Per-tenant API keys, quotas and rate limiting","Issue scoped keys per team/agent with request quotas and rate limits so one consumer cannot degrade the service for 5,000 users.",Keys scoped to reg_* tools; quota and rate limit enforced with clear error responses; usage attributable per key; limits configurable without redeploy,5,Backend Engineer,Not Started,Allowlist enforcement already built
REG-908,E12,"Scale & Performance (100 → 5,000 users)",Sprint 9,Queue-based parallel ingestion,"Introduce a work queue between detection and fetch so multiple workers process documents concurrently, keeping the daily window comfortable as coverage depth grows, while preserving per-regulator politeness limits.",Full fleet run completes within the agreed window; per-domain rate limits still honoured; failures isolated per document; ordering-independent and idempotent,8,Backend Engineer,Not Started,Pipeline is already stateless and idempotent
REG-909,E13,"Production Integration, Security & Operations",Sprint 8,BA: role and access matrix definition,Define analyst/operator/administrator permissions across UI and tools and obtain security sign-off.,Matrix signed off; mapped to implemented roles; exceptions documented,2,Business Analyst,Not Started,
PM-S8,E13,"Production Integration, Security & Operations",Sprint 8,"PM: sprint ceremonies, integration coordination",Recurring PM allocation plus platform-team integration coordination.,Ceremonies held; integration risks tracked; sprint report issued,0,Project Manager,Not Started,Recurring
REG-1001,E12,"Scale & Performance (100 → 5,000 users)",Sprint 10,"Load and soak testing to 5,000 users","Define SLOs and prove them: model realistic analyst and agent traffic, run peak-load and multi-hour soak tests including a concurrent ingestion window.",Agreed SLOs documented; peak load sustained within latency budgets; soak shows no memory/connection leak; results reported with headroom analysis and breaking point identified,8,Backend Engineer,Not Started,Read load is user-driven; collection load is fixed
REG-1002,E12,"Scale & Performance (100 → 5,000 users)",Sprint 10,Performance tuning from load-test findings,"Address the bottlenecks the load test surfaces: query plans and indexes, pagination limits, payload sizes, and any remaining chatty calls.",Each identified bottleneck has a measured before/after; SLOs met with agreed headroom; changes covered by regression tests,5,Backend Engineer,Not Started,
